[2021/8/7 - 9:46:52] Tai Cute da thu thap: +Sat: 32, +Ruby: 14, +Vang: 0, +Kim Cuong: 0
[2021/8/7 - 9:47:54] Tai Cute da thu thap: +Sat: 4, +Ruby: 2, +Vang: 0, +Kim Cuong: 0
[2021/8/7 - 9:48:59] Tai Cute da thu thap: +Sat: 4, +Ruby: 6, +Vang: 0, +Kim Cuong: 0
[2021/8/7 - 9:49:14] Tai Cute da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 10:42:33] Vu Hieu da thu thap: +Sat: 39, +Ruby: 18, +Vang: 1, +Kim Cuong: 0
[2021/8/8 - 10:43:07] Vu Hieu da thu thap: +Sat: 4, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 10:49:51] Vu Hieu da thu thap: +Sat: 4, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 10:50:44] Vu Hieu da thu thap: +Sat: 4, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 10:51:19] Vu Hieu da thu thap: +Sat: 5, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 10:58:00] Vu Hieu da thu thap: +Sat: 43, +Ruby: 11, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 11:04:38] Vu Hieu da thu thap: +Sat: 37, +Ruby: 12, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 11:11:46] Vu Hieu da thu thap: +Sat: 41, +Ruby: 16, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 11:17:48] Vu Hieu da thu thap: +Sat: 34, +Ruby: 11, +Vang: 1, +Kim Cuong: 0
[2021/8/8 - 11:19:03] Vu Hieu da thu thap: +Sat: 7, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 11:19:54] Vu Hieu da thu thap: +Sat: 6, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 11:20:59] Vu Hieu da thu thap: +Sat: 8, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 11:22:04] Vu Hieu da thu thap: +Sat: 7, +Ruby: 2, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 11:29:32] Vu Hieu da thu thap: +Sat: 47, +Ruby: 13, +Vang: 1, +Kim Cuong: 0
[2021/8/8 - 14:44:53] David Beckben da thu thap: +Sat: 4, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 20:13:45] Vu Hieu da thu thap: +Sat: 7, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 20:13:54] Vu Hieu da thu thap: +Sat: 1, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 20:14:00] Vu Hieu da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 20:14:10] Vu Hieu da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 20:14:32] Duck Emcee da thu thap: +Sat: 61, +Ruby: 31, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 20:22:21] Vu Hieu da thu thap: +Sat: 56, +Ruby: 15, +Vang: 0, +Kim Cuong: 1
[2021/8/8 - 20:26:15] Vu Hieu da thu thap: +Sat: 26, +Ruby: 7, +Vang: 0, +Kim Cuong: 0
[2021/8/8 - 20:35:47] Vu Hieu da thu thap: +Sat: 24, +Ruby: 7, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 0:57:23] Duck Emcee da thu thap: +Sat: 218, +Ruby: 82, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:21:12] binh sang da thu thap: +Sat: 8, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:22:19] binh sang da thu thap: +Sat: 6, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:22:21] binh sang da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:22:27] binh sang da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:22:35] binh sang da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:22:40] binh sang da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:24:57] binh sang da thu thap: +Sat: 11, +Ruby: 6, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:24:58] binh sang da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:28:27] binh sang da thu thap: +Sat: 15, +Ruby: 10, +Vang: 1, +Kim Cuong: 0
[2021/8/9 - 4:45:40] Duck Emcee da thu thap: +Sat: 86, +Ruby: 24, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:56:22] phat sang da thu thap: +Sat: 15, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:58:06] phat sang da thu thap: +Sat: 11, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:58:09] phat sang da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 4:59:10] phat sang da thu thap: +Sat: 4, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 5:00:42] binh sang da thu thap: +Sat: 141, +Ruby: 49, +Vang: 2, +Kim Cuong: 0
[2021/8/9 - 5:02:06] phat sang da thu thap: +Sat: 15, +Ruby: 6, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 5:44:00] Duck Emcee da thu thap: +Sat: 230, +Ruby: 109, +Vang: 2, +Kim Cuong: 0
[2021/8/9 - 5:44:03] binh sang da thu thap: +Sat: 57, +Ruby: 28, +Vang: 1, +Kim Cuong: 0
[2021/8/9 - 5:45:07] phat sang da thu thap: +Sat: 23, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 5:45:15] Minh phan da thu thap: +Sat: 178, +Ruby: 56, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 7:58:07] Duck Emcee da thu thap: +Sat: 48, +Ruby: 30, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 7:59:48] Thanh Vi da thu thap: +Sat: 10, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 7:59:49] Thanh Vi da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 8:00:26] Tai Cute da thu thap: +Sat: 7, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 8:00:37] Vu Hieu da thu thap: +Sat: 14, +Ruby: 4, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 9:04:20] Tai Cute da thu thap: +Sat: 127, +Ruby: 56, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 9:20:42] Tai Cute da thu thap: +Sat: 56, +Ruby: 15, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 11:19:19] Tai Cute da thu thap: +Sat: 28, +Ruby: 9, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 11:24:05] Tai Cute da thu thap: +Sat: 23, +Ruby: 5, +Vang: 1, +Kim Cuong: 0
[2021/8/9 - 14:17:21] Duck Emcee da thu thap: +Sat: 355, +Ruby: 141, +Vang: 3, +Kim Cuong: 0
[2021/8/9 - 14:40:08] Duck Emcee da thu thap: +Sat: 126, +Ruby: 52, +Vang: 2, +Kim Cuong: 0
[2021/8/9 - 15:11:49] Duck Emcee da thu thap: +Sat: 127, +Ruby: 47, +Vang: 1, +Kim Cuong: 0
[2021/8/9 - 20:55:06] Tai Cute da thu thap: +Sat: 41, +Ruby: 12, +Vang: 2, +Kim Cuong: 0
[2021/8/9 - 21:05:37] Vu Hieu da thu thap: +Sat: 39, +Ruby: 12, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:06:16] Vu Hieu da thu thap: +Sat: 2, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:06:22] Vu Hieu da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:13:12] Vu Hieu da thu thap: +Sat: 38, +Ruby: 13, +Vang: 1, +Kim Cuong: 0
[2021/8/9 - 21:13:49] Tai Cute da thu thap: +Sat: 108, +Ruby: 43, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:14:17] Vu Hieu da thu thap: +Sat: 1, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:15:42] Tai Cute da thu thap: +Sat: 11, +Ruby: 4, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:15:53] Vu Hieu da thu thap: +Sat: 8, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:17:22] Tai Cute da thu thap: +Sat: 9, +Ruby: 5, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:18:24] Vu Hieu da thu thap: +Sat: 19, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:20:49] Vu Hieu da thu thap: +Sat: 13, +Ruby: 7, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:22:17] Vu Hieu da thu thap: +Sat: 8, +Ruby: 5, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:23:09] Vu Hieu da thu thap: +Sat: 5, +Ruby: 2, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:24:21] Tai Cute da thu thap: +Sat: 31, +Ruby: 10, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:25:18] Vu Hieu da thu thap: +Sat: 5, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 21:31:46] Vu Hieu da thu thap: +Sat: 38, +Ruby: 16, +Vang: 1, +Kim Cuong: 0
[2021/8/9 - 21:33:12] Vu Hieu da thu thap: +Sat: 7, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 22:27:53] nghia pham da thu thap: +Sat: 287, +Ruby: 101, +Vang: 3, +Kim Cuong: 0
[2021/8/9 - 22:43:07] Duck Emcee da thu thap: +Sat: 195, +Ruby: 75, +Vang: 1, +Kim Cuong: 0
[2021/8/9 - 22:52:40] nghia pham da thu thap: +Sat: 80, +Ruby: 33, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 22:53:32] nghia pham da thu thap: +Sat: 5, +Ruby: 2, +Vang: 1, +Kim Cuong: 0
[2021/8/9 - 22:53:52] nghia pham da thu thap: +Sat: 2, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/9 - 23:52:10] Duck Emcee da thu thap: +Sat: 159, +Ruby: 55, +Vang: 2, +Kim Cuong: 0
[2021/8/10 - 0:04:41] Chu ling da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:04:45] Chu ling da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:04:52] Chu ling da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:04:58] Chu ling da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:05:13] Chu ling da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:05:27] Chu ling da thu thap: +Sat: 1, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:05:49] Chu ling da thu thap: +Sat: 2, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:06:03] Chu ling da thu thap: +Sat: 1, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:06:39] Chu ling da thu thap: +Sat: 3, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:06:41] Chu ling da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:06:48] Chu ling da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:06:54] Chu ling da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:07:03] Chu ling da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:07:08] Chu ling da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:07:15] Chu ling da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:10:32] Chu ling da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:10:35] Chu ling da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:10:41] Chu ling da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:10:55] Chu ling da thu thap: +Sat: 1, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:11:38] Chu ling da thu thap: +Sat: 2, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:11:42] Chu ling da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:12:02] Chu ling da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:56:41] binh sang da thu thap: +Sat: 108, +Ruby: 36, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 0:56:49] binh sang da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 1:01:49] phat sang da thu thap: +Sat: 56, +Ruby: 21, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 1:01:52] phat sang da thu thap: +Sat: 1, +Ruby: 0, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 1:10:19] binh sang da thu thap: +Sat: 80, +Ruby: 22, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 1:15:31] phat sang da thu thap: +Sat: 29, +Ruby: 6, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 1:15:34] phat sang da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 3:46:20] Duck Emcee da thu thap: +Sat: 883, +Ruby: 301, +Vang: 5, +Kim Cuong: 0
[2021/8/10 - 4:52:54] Duck Emcee da thu thap: +Sat: 214, +Ruby: 59, +Vang: 2, +Kim Cuong: 0
[2021/8/10 - 6:59:39] Vu Hieu da thu thap: +Sat: 9, +Ruby: 4, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 7:05:32] Vu Hieu da thu thap: +Sat: 27, +Ruby: 18, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 7:19:06] Vu Hieu da thu thap: +Sat: 78, +Ruby: 31, +Vang: 0, +Kim Cuong: 1
[2021/8/10 - 7:27:22] Vu Hieu da thu thap: +Sat: 50, +Ruby: 16, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 7:27:29] Vu Hieu da thu thap: +Sat: 0, +Ruby: 1, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 7:29:53] Vu Hieu da thu thap: +Sat: 13, +Ruby: 3, +Vang: 0, +Kim Cuong: 0
[2021/8/10 - 7:33:11] Tai Cute da thu thap: +Sat: 28, +Ruby: 10, +Vang: 1, +Kim Cuong: 0
[2021/8/10 - 7:43:13] Vu Hieu da thu thap: +Sat: 61, +Ruby: 15, +Vang: 0, +Kim Cuong: 0
